Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
602,34,1,1,2,little,moderate,1837,24,3
603,28,1,3,0,little,unknown,3349,36,4
604,23,1,2,0,little,rich,1275,10,4
605,22,0,2,0,quite rich,little,2828,24,4
606,74,0,3,0,little,unknown,4526,24,0
607,50,1,2,2,moderate,moderate,2671,36,5
608,33,0,2,0,little,unknown,2051,18,5
609,45,0,2,2,unknown,unknown,1300,15,1
610,22,1,2,0,moderate,little,741,12,2
611,48,1,1,2,moderate,rich,1240,10,1
612,29,1,2,0,rich,little,3357,21,5
613,22,1,2,1,little,little,3632,24,1
614,22,1,2,0,little,unknown,1808,18,4
615,48,0,3,0,unknown,moderate,12204,48,0
616,27,0,3,2,unknown,moderate,9157,60,5
617,37,0,2,1,little,little,3676,6,1
618,21,1,2,1,moderate,moderate,3441,30,4
619,49,0,1,0,little,unknown,640,12,1
620,27,0,2,0,little,moderate,3652,21,0
621,32,0,2,0,little,unknown,1530,18,1
622,38,0,2,0,unknown,unknown,3914,48,0
623,22,1,2,1,little,little,1858,12,4
624,65,0,2,2,little,little,2600,18,5
625,35,0,2,0,unknown,unknown,1979,15,5
626,41,0,2,0,little,rich,2116,6,4
627,29,0,2,0,moderate,moderate,1437,9,1
628,36,0,2,0,quite rich,unknown,4042,42,4
629,64,0,1,0,unknown,unknown,3832,9,3
630,28,1,2,0,little,little,3660,24,5
631,44,0,2,0,little,little,1553,18,4
632,23,0,2,0,unknown,moderate,1444,15,5
633,19,1,2,1,little,unknown,1980,9,4
634,25,1,1,0,little,moderate,1355,24,1
635,47,0,2,0,little,unknown,1393,12,3
636,28,1,2,0,quite rich,unknown,1376,24,5
637,21,0,2,0,little,unknown,15653,60,5
638,34,1,2,0,little,unknown,1493,12,5
639,26,0,2,0,little,little,4370,42,5
640,27,1,0,0,little,little,750,18,3
641,38,0,1,0,little,moderate,1308,15,6
642,40,0,3,0,moderate,unknown,4623,15,3
643,33,0,2,0,little,unknown,1851,24,5
644,32,0,3,0,little,little,1880,18,5
645,27,0,2,1,unknown,unknown,7980,36,0
646,32,0,2,0,little,little,4583,30,4
647,26,1,2,0,quite rich,unknown,1386,12,1
648,38,0,2,2,little,rich,947,24,1
649,40,0,1,1,little,little,684,12,3
650,50,0,3,2,little,little,7476,48,3
651,37,0,1,0,little,moderate,1922,12,4
652,45,0,2,0,little,little,2303,24,1
653,42,0,3,0,moderate,moderate,8086,36,1
654,35,0,2,0,little,unknown,2346,24,1
655,22,0,2,2,little,little,3973,14,1
656,41,0,1,0,little,moderate,888,12,1
657,37,0,2,0,unknown,unknown,10222,48,5
658,28,1,2,0,little,moderate,4221,30,0
659,41,0,2,0,little,moderate,6361,18,4
660,23,0,2,1,little,rich,1297,12,5
661,23,0,2,0,unknown,little,900,12,1
662,50,0,2,0,little,unknown,2241,21,4
663,35,0,3,0,little,moderate,1050,6,4
664,50,1,1,0,little,rich,1047,6,3
665,27,0,3,0,little,unknown,6314,24,7
666,34,0,2,0,rich,moderate,3496,30,4
667,27,1,2,0,little,unknown,3609,48,0
668,43,0,2,1,little,little,4843,12,1
669,47,0,2,0,little,rich,3017,30,5
670,27,0,1,0,moderate,unknown,4139,24,0
671,31,0,2,0,moderate,unknown,5742,36,0
672,42,0,3,0,little,unknown,10366,60,1
673,24,0,2,0,quite rich,unknown,2080,6,1
674,41,0,1,0,quite rich,unknown,2580,21,0
675,26,1,3,1,little,unknown,4530,30,5
676,33,0,2,0,little,unknown,5150,24,4
677,24,0,2,0,moderate,moderate,5595,72,5
678,64,0,1,1,little,little,2384,24,5
679,26,1,2,0,little,unknown,1453,18,5
680,56,1,2,0,little,unknown,1538,6,3
681,37,0,2,2,unknown,unknown,2279,12,5
682,33,0,2,0,little,unknown,1478,15,5
683,47,0,2,2,little,unknown,5103,24,5
684,31,0,1,0,moderate,moderate,9857,36,0
685,34,0,2,2,unknown,unknown,6527,60,1
686,27,0,2,0,unknown,rich,1347,10,5
687,30,0,2,2,moderate,moderate,2862,36,1
688,35,0,2,0,moderate,unknown,2753,9,5
689,31,0,2,0,rich,little,3651,12,1
690,25,0,2,0,little,little,975,15,4
691,25,1,1,0,moderate,moderate,2631,15,6
692,29,0,2,0,moderate,moderate,2896,24,5
693,44,0,1,0,unknown,little,4716,6,1
694,28,0,2,0,little,unknown,2284,24,5
695,50,0,2,1,quite rich,unknown,1236,6,1
696,29,0,2,0,little,moderate,1103,12,5
697,38,1,0,0,little,unknown,926,12,1
698,24,0,2,0,little,unknown,1800,18,5
699,40,0,3,1,little,rich,1905,15,3
700,29,1,1,1,quite rich,unknown,1123,12,4
701,46,0,2,2,little,little,6331,48,1
702,47,1,2,2,moderate,rich,1377,24,5
703,41,0,2,0,moderate,moderate,2503,30,0
704,32,1,2,0,little,moderate,2528,27,0
705,35,1,2,2,quite rich,unknown,5324,15,1
706,24,0,2,0,moderate,moderate,6560,48,1
707,25,1,2,1,little,moderate,2969,12,4
708,25,1,2,0,little,moderate,1206,9,5
709,37,0,1,0,little,moderate,2118,9,5
710,32,0,3,0,quite rich,unknown,629,18,5
711,35,1,2,2,little,little,1198,6,3
712,46,0,3,0,unknown,unknown,2476,21,1
713,25,0,1,0,little,little,1138,9,5
714,27,0,3,0,little,moderate,14027,60,1
715,63,0,2,0,unknown,unknown,7596,30,1
716,40,0,2,0,unknown,unknown,3077,30,5
717,32,0,3,2,little,unknown,1505,18,5
718,31,0,2,0,unknown,rich,3148,24,5
719,31,0,2,0,moderate,moderate,6148,20,1
720,34,0,3,0,little,rich,1337,9,5
721,24,1,2,1,rich,moderate,433,6,3
722,24,1,1,0,little,little,1228,12,1
723,66,1,1,0,quite rich,moderate,790,9,5
724,21,1,2,1,little,unknown,2570,27,1
725,41,1,1,0,rich,unknown,250,6,1
726,47,0,1,0,quite rich,unknown,1316,15,5
727,25,1,2,1,little,little,1882,18,5
728,59,1,2,1,little,moderate,6416,48,0
729,36,0,2,0,rich,rich,1275,24,0
730,33,0,2,0,little,moderate,6403,24,5
731,21,0,1,1,little,little,1987,24,5
732,44,1,1,0,little,moderate,760,8,5
733,28,1,2,1,rich,unknown,2603,24,1
734,37,1,2,0,little,unknown,3380,4,1
735,29,1,0,0,unknown,moderate,3990,36,2
736,23,1,3,1,little,moderate,11560,24,1
737,35,0,1,0,moderate,little,4380,18,1
738,45,0,3,0,little,unknown,6761,6,1
739,26,1,1,1,moderate,moderate,4280,30,0
740,32,0,2,0,moderate,little,2325,24,1
741,23,0,1,0,little,moderate,1048,10,5
742,41,0,2,0,unknown,unknown,3160,21,5
743,22,0,2,0,quite rich,little,2483,24,4
744,30,0,3,0,unknown,little,14179,39,4
745,28,0,1,0,little,little,1797,13,0
746,23,1,2,1,little,little,2511,15,1
747,37,1,1,0,little,little,1274,12,1
748,26,0,2,0,unknown,unknown,5248,21,1
749,33,0,2,0,little,unknown,3029,15,1
750,49,1,2,0,little,little,428,6,4
751,23,1,1,0,little,little,976,18,1
752,23,1,1,1,moderate,moderate,841,12,0
753,25,1,2,0,little,unknown,5771,30,5
754,55,0,2,2,rich,unknown,1555,12,6
755,32,1,2,1,unknown,little,1285,24,1
756,74,0,0,0,little,rich,1299,6,1
757,39,0,2,2,unknown,rich,1271,15,5
758,31,0,2,0,little,unknown,1393,24,1
759,35,0,2,0,little,little,691,12,1
760,59,1,2,0,unknown,unknown,5045,15,1
761,24,1,2,1,little,little,2124,18,4
762,24,0,1,0,little,little,2214,12,5
763,30,0,3,2,unknown,unknown,12680,21,1
764,27,0,2,0,moderate,unknown,2463,24,1
765,40,0,1,0,little,moderate,1155,12,5
766,31,0,1,0,little,little,3108,30,4
767,31,1,2,1,unknown,unknown,2901,10,1
768,28,0,2,1,little,moderate,3617,12,4
769,63,0,1,0,little,unknown,1655,12,5
770,26,1,2,1,unknown,little,2812,24,1
771,25,1,3,0,little,little,8065,36,3
772,36,0,3,0,little,unknown,3275,21,1
773,52,0,2,0,moderate,unknown,2223,24,5
774,66,0,0,2,quite rich,rich,1480,12,1
775,25,1,2,1,unknown,little,1371,24,1
776,37,0,2,0,little,unknown,3535,36,1
777,25,1,2,0,little,little,3509,18,5
778,38,0,3,0,rich,unknown,5711,36,1
779,67,1,2,0,little,moderate,3872,18,6
780,25,0,2,0,little,moderate,4933,39,5
781,60,0,2,0,rich,unknown,1940,24,1
782,31,0,1,0,little,moderate,1410,12,3
783,23,1,1,0,moderate,moderate,836,12,1
784,60,0,3,0,unknown,moderate,6468,20,1
785,35,0,1,0,rich,moderate,1941,18,0
786,40,0,2,0,quite rich,unknown,2675,22,5
787,38,0,2,0,unknown,unknown,2751,48,1
788,50,0,2,2,little,moderate,6224,48,3
789,27,0,2,0,little,little,5998,40,3
790,39,1,2,0,little,moderate,1188,21,0
791,41,0,3,0,unknown,unknown,6313,24,1
792,27,0,2,0,unknown,unknown,1221,6,4
793,51,0,2,2,little,rich,2892,24,4
794,32,0,2,1,quite rich,unknown,3062,24,4
795,22,1,2,1,moderate,unknown,2301,9,4
796,51,0,2,2,unknown,little,7511,18,1
797,22,1,1,1,little,unknown,1258,12,4
798,54,0,2,0,unknown,unknown,717,24,1
799,35,0,0,0,unknown,moderate,1549,9,1
800,54,0,2,2,little,unknown,1597,24,3
801,48,1,1,1,little,moderate,1795,18,5
802,24,1,2,0,little,little,4272,20,4
803,35,0,2,0,unknown,unknown,976,12,5
804,24,1,0,1,unknown,moderate,7472,12,1
805,24,0,2,0,little,little,9271,36,1
806,26,0,1,0,little,moderate,590,6,5
807,65,0,2,0,unknown,unknown,930,12,5
808,55,0,3,2,little,moderate,9283,42,1
809,26,1,0,1,little,moderate,1778,15,1
810,26,0,2,0,little,moderate,907,8,0
811,28,0,1,0,little,moderate,484,6,5
812,24,0,2,0,little,little,9629,36,1
813,54,0,2,0,little,little,3051,48,2
814,46,0,2,2,little,little,3931,48,1
815,54,1,2,1,little,moderate,7432,36,1
816,62,0,2,0,quite rich,unknown,1338,6,2
817,24,1,2,1,little,unknown,1554,6,5
818,43,0,3,0,little,little,15857,36,7
819,26,0,2,0,little,little,1345,18,5
820,27,0,2,0,little,unknown,1101,12,1
821,24,0,2,0,little,rich,3016,12,5
822,41,0,2,0,little,little,2712,36,4
823,47,0,1,0,little,little,731,8,1
824,35,0,3,0,little,unknown,3780,18,4
825,30,0,2,0,little,little,1602,21,1
826,33,1,2,1,little,little,3966,18,1
827,36,0,2,0,little,unknown,4165,18,0
828,47,0,2,2,unknown,little,8335,36,1
829,38,0,2,2,unknown,moderate,6681,48,0
830,44,0,2,0,quite rich,unknown,2375,24,0
831,23,1,2,1,little,little,1216,18,1
832,29,0,2,1,little,little,11816,45,0
833,42,1,2,0,unknown,moderate,5084,24,5
834,25,1,1,0,little,rich,2327,15,5
835,48,0,2,0,little,little,1082,12,1
836,21,1,2,0,unknown,unknown,886,12,5
837,23,1,1,1,little,unknown,601,4,4
838,63,0,2,0,little,little,2957,24,1
839,46,0,2,0,little,unknown,2611,24,5
840,29,0,2,0,little,little,5179,36,4
841,28,0,1,0,little,unknown,2993,21,1
842,23,1,2,0,little,unknown,1943,18,6
843,50,0,2,0,little,unknown,1559,24,0
844,47,0,2,0,little,unknown,3422,18,4
845,35,0,2,0,unknown,moderate,3976,21,4
846,68,0,2,1,unknown,unknown,6761,18,1
847,28,0,2,0,little,unknown,1249,24,1
848,59,0,2,0,little,little,1364,9,5
849,57,0,1,0,little,little,709,12,5
850,33,0,2,1,little,little,2235,20,1
851,43,0,2,0,unknown,unknown,4042,24,1
852,35,0,2,2,little,unknown,1471,15,5
853,32,0,1,2,little,little,1442,18,1
854,45,0,2,0,little,unknown,10875,36,1
855,33,0,2,0,moderate,unknown,1474,24,1
856,40,1,2,0,unknown,unknown,894,10,3
857,28,0,2,2,little,unknown,3343,15,4
858,29,1,2,0,little,little,3959,15,1
859,26,0,2,1,moderate,unknown,3577,9,1
860,27,0,2,0,rich,unknown,5804,24,1
861,28,0,2,0,little,unknown,2169,18,0
862,35,1,2,0,little,little,2439,24,5
863,32,0,1,0,rich,unknown,4526,27,4
864,25,0,1,1,little,unknown,2210,10,4
865,20,1,2,1,quite rich,unknown,2221,15,4
866,27,1,2,0,little,little,2389,18,5
867,42,0,2,0,little,unknown,3331,12,4
868,37,0,2,0,unknown,unknown,7409,36,0
869,24,1,2,1,little,little,652,12,4
870,40,1,2,0,quite rich,unknown,7678,36,4
871,46,0,2,0,little,rich,1343,6,1
872,26,0,2,0,moderate,little,1382,24,0
873,24,1,2,0,unknown,unknown,874,15,2
874,29,0,1,0,little,little,3590,12,4
875,40,1,2,0,rich,moderate,1322,11,1
876,36,0,3,2,little,little,1940,18,5
877,28,0,2,0,little,unknown,3595,36,5
878,27,0,3,2,little,little,1422,9,1
879,36,0,2,0,unknown,unknown,6742,30,5
880,38,0,3,0,little,unknown,7814,24,1
881,48,0,2,2,unknown,unknown,9277,24,1
882,36,0,2,0,unknown,moderate,2181,30,1
883,65,1,0,0,little,unknown,1098,18,5
884,43,0,2,0,little,moderate,4057,24,4
885,53,1,2,0,little,little,795,12,3
886,34,0,2,0,unknown,moderate,2825,24,0
887,23,0,2,0,little,moderate,15672,48,0
888,34,0,3,0,little,unknown,6614,36,1
889,40,0,2,1,unknown,unknown,7824,28,1
890,43,0,3,0,little,little,2442,27,0
891,46,0,2,0,little,unknown,1829,15,5
892,38,0,1,0,little,little,2171,12,1
893,34,0,2,0,little,moderate,5800,36,1
894,29,0,2,0,unknown,unknown,1169,18,5
895,31,0,3,0,unknown,unknown,8947,36,1
896,28,1,3,1,little,little,2606,21,5
897,35,1,2,0,rich,unknown,1592,12,4
898,33,1,1,1,unknown,unknown,2186,15,4
899,42,0,2,0,little,little,4153,18,4
900,43,0,2,1,little,little,2625,16,1
901,44,0,2,0,unknown,unknown,3485,20,1
902,42,0,2,2,unknown,unknown,10477,36,1
903,40,0,2,1,unknown,unknown,1386,15,5
904,36,0,3,0,little,unknown,1278,24,5
905,20,0,3,1,little,little,1107,12,5
906,24,0,1,0,unknown,little,3763,21,1
907,27,0,2,0,unknown,moderate,3711,36,3
908,46,1,1,0,little,unknown,3594,15,1
909,33,1,1,0,unknown,moderate,3195,9,1
910,34,1,2,0,little,unknown,4454,36,5
911,25,1,1,0,little,moderate,4736,24,4
912,25,1,2,0,unknown,moderate,2991,30,5
913,28,0,2,0,rich,unknown,2142,11,0
914,31,0,2,1,little,little,3161,24,0
915,32,1,3,0,little,moderate,18424,48,7
916,32,0,2,0,moderate,unknown,2848,10,1
917,68,0,3,0,little,little,14896,6,1
918,33,0,2,0,moderate,little,2359,24,4
919,39,0,3,1,little,little,3345,24,4
920,28,1,2,0,little,unknown,1817,18,4
921,37,0,3,0,quite rich,unknown,12749,48,5
922,22,1,2,1,little,little,1366,9,5
923,30,0,2,1,little,moderate,2002,12,1
924,55,0,2,0,little,little,6872,24,4
925,46,0,2,0,little,little,697,12,1
926,21,1,2,1,little,little,1049,18,4
927,39,0,2,2,little,little,10297,48,1
928,58,0,2,0,unknown,unknown,1867,30,5
929,43,0,1,0,little,little,1344,12,1
930,24,0,1,0,little,little,1747,24,4
931,22,1,2,0,little,moderate,1670,9,5
932,30,0,2,0,little,unknown,1224,9,1
933,42,0,2,0,quite rich,unknown,522,12,5
934,23,1,2,0,little,little,1498,12,5
935,30,0,3,0,moderate,moderate,1919,30,5
936,28,1,1,0,little,rich,745,9,5
937,30,0,3,1,little,moderate,2063,6,5
938,42,0,2,2,little,moderate,6288,60,3
939,46,0,3,0,unknown,unknown,6842,24,1
940,45,0,3,0,unknown,unknown,3527,12,1
941,31,0,1,0,little,unknown,1546,10,1
942,31,0,2,0,unknown,unknown,929,24,4
943,42,0,1,0,little,unknown,1455,4,1
944,46,1,2,1,little,little,1845,15,4
945,30,1,2,0,quite rich,moderate,8358,48,1
946,30,0,2,2,quite rich,little,3349,24,4
947,38,0,3,0,unknown,unknown,2859,12,1
948,43,0,1,0,little,unknown,1533,18,4
949,31,0,2,0,moderate,unknown,3621,24,5
950,40,0,0,0,little,moderate,3590,18,0
951,24,0,2,0,little,little,2145,36,0
952,28,1,2,1,quite rich,moderate,4113,24,1
953,26,1,3,0,little,unknown,10974,36,4
954,29,1,2,0,little,little,1893,12,1
955,57,1,3,1,rich,little,1231,24,5
956,49,0,1,0,unknown,rich,3656,30,5
957,37,0,1,0,little,moderate,1154,9,5
958,45,0,1,0,little,little,4006,28,1
959,30,0,2,2,moderate,moderate,3069,24,4
960,30,0,2,1,little,unknown,1740,6,5
961,47,0,2,0,little,moderate,2353,21,1
962,29,0,2,0,unknown,unknown,3556,15,1
963,35,0,2,0,quite rich,unknown,2397,24,5
964,22,0,1,0,little,moderate,454,6,6
965,26,1,2,0,unknown,moderate,1715,30,5
966,23,0,1,0,quite rich,moderate,2520,27,5
967,54,1,3,1,little,unknown,3568,15,5
968,29,0,2,1,unknown,unknown,7166,42,5
969,40,0,1,0,little,little,3939,11,1
970,22,0,2,0,moderate,moderate,1514,15,6
971,43,0,1,0,little,unknown,7393,24,1
972,29,1,0,1,little,little,1193,24,1
973,36,0,2,1,little,little,7297,60,0
974,33,1,2,0,little,unknown,2831,30,5
975,57,1,1,0,quite rich,rich,1258,24,5
976,64,1,2,0,little,moderate,753,6,5
977,42,0,2,0,unknown,moderate,2427,18,0
978,47,0,1,0,little,unknown,2538,24,1
979,25,0,2,1,moderate,moderate,1264,15,1
980,49,0,2,0,little,moderate,8386,30,4
981,33,0,3,1,little,unknown,4844,48,0
982,28,1,3,0,moderate,rich,2923,21,1
983,26,0,2,0,little,little,8229,36,1
984,30,0,1,0,little,unknown,2028,24,4
985,25,1,2,1,little,little,1433,15,4
986,33,0,2,0,little,rich,6289,42,0
987,64,1,2,0,moderate,unknown,1409,13,5
988,29,0,3,2,little,little,6579,24,1
989,48,0,1,0,little,moderate,1743,24,5
990,37,0,1,0,unknown,unknown,3565,12,3
991,34,0,1,0,moderate,unknown,1569,15,5
992,23,0,1,1,unknown,little,1936,18,5
993,30,0,3,0,little,little,3959,36,4
994,50,0,2,0,unknown,unknown,2390,12,1
995,31,1,1,0,little,unknown,1736,12,4
996,40,0,3,0,little,little,3857,30,1
997,38,0,2,0,little,unknown,804,12,5
998,23,0,2,2,little,little,1845,45,5
999,27,0,2,0,moderate,moderate,4576,45,1
